Timestamp,Target,Port,Service,Status,Risk,Warning,Vulnerability,CVE-Style Tag,Explanation,Banner
18:32:11,127.0.0.1,135,Windows RPC,OPEN,MEDIUM,Windows RPC exposure should be reviewed.,Windows RPC exposure should be reviewed.,RPC-EXPOSURE-RISK,Windows RPC on port 135 should be reviewed and protected with firewall rules.,No banner received
18:32:11,127.0.0.1,445,SMB,OPEN,HIGH,SMB is commonly targeted by ransomware.,SMB is commonly targeted by ransomware.,SMB-RANSOMWARE-TARGET,SMB on port 445 should be reviewed immediately because it may expose sensitive network services.,No banner received
18:32:13,127.0.0.2,135,Windows RPC,OPEN,MEDIUM,Windows RPC exposure should be reviewed.,Windows RPC exposure should be reviewed.,RPC-EXPOSURE-RISK,Windows RPC on port 135 should be reviewed and protected with firewall rules.,No banner received
18:32:13,127.0.0.2,445,SMB,OPEN,HIGH,SMB is commonly targeted by ransomware.,SMB is commonly targeted by ransomware.,SMB-RANSOMWARE-TARGET,SMB on port 445 should be reviewed immediately because it may expose sensitive network services.,No banner received
18:32:15,127.0.0.3,135,Windows RPC,OPEN,MEDIUM,Windows RPC exposure should be reviewed.,Windows RPC exposure should be reviewed.,RPC-EXPOSURE-RISK,Windows RPC on port 135 should be reviewed and protected with firewall rules.,No banner received
18:32:15,127.0.0.3,445,SMB,OPEN,HIGH,SMB is commonly targeted by ransomware.,SMB is commonly targeted by ransomware.,SMB-RANSOMWARE-TARGET,SMB on port 445 should be reviewed immediately because it may expose sensitive network services.,No banner received
18:32:17,127.0.0.4,135,Windows RPC,OPEN,MEDIUM,Windows RPC exposure should be reviewed.,Windows RPC exposure should be reviewed.,RPC-EXPOSURE-RISK,Windows RPC on port 135 should be reviewed and protected with firewall rules.,No banner received
18:32:17,127.0.0.4,445,SMB,OPEN,HIGH,SMB is commonly targeted by ransomware.,SMB is commonly targeted by ransomware.,SMB-RANSOMWARE-TARGET,SMB on port 445 should be reviewed immediately because it may expose sensitive network services.,No banner received
18:32:19,127.0.0.5,135,Windows RPC,OPEN,MEDIUM,Windows RPC exposure should be reviewed.,Windows RPC exposure should be reviewed.,RPC-EXPOSURE-RISK,Windows RPC on port 135 should be reviewed and protected with firewall rules.,No banner received
18:32:19,127.0.0.5,445,SMB,OPEN,HIGH,SMB is commonly targeted by ransomware.,SMB is commonly targeted by ransomware.,SMB-RANSOMWARE-TARGET,SMB on port 445 should be reviewed immediately because it may expose sensitive network services.,No banner received
